#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
EM|MBB01|35.880001|-120.403|475.4|Parkfield, CA, USA|2008-09-19T20:13:48.0000|2012-03-08T07:59:03.0000
EM|MBB02|44.668999|-123.281998|125.0|Soap Creek, OR, USA|2008-08-12T01:36:19.0000|2011-07-08T21:57:55.0000
EM|MBB03|37.028999|-93.024002|374.1|Braden, MO, USA|2008-09-12T14:46:33.0000|2012-04-06T14:39:40.0000
EM|MBB04|34.029999|-106.852997|1436.4|Socorro, NM, USA|2008-09-15T17:28:37.0000|2012-03-22T16:05:17.0000
EM|MBB05|37.209|-80.573997|500.0|Kentland Farm, Blacksburg, VA, USA|2008-06-02T06:00:00.0000|2011-05-27T01:32:31.0000
EM|MBB06|46.695999|-106.259003|898.7|Angela, MT, USA|2008-08-05T01:22:39.0000|2012-06-09T17:37:59.0000
EM|MBB07|48.393002|-95.887001|351.1|Agassiz NWR, MN, USA|2008-08-26T23:13:59.0000|2012-06-05T17:24:47.0000
EM|MDN55|39.619999|-79.102997|814.5|Savage River, MD, USA|2016-07-07T19:02:32.0000|2016-07-17T14:50:58.0000
EM|MDN57|39.256001|-77.399002|198.5|Sugarloaf Mountain, MD, USA|2016-04-30T16:55:10.0000|2016-05-29T14:42:45.0000
EM|MDN58|39.036999|-76.817001|60.2|Patapsco River, MD, USA|2016-05-20T20:02:57.0000|2016-06-08T15:28:25.0000
EM|MDN59|38.987|-75.927002|20.6|Tuckahoe Creek, MD, USA|2016-05-11T17:45:37.0000|2016-05-31T16:27:04.0000
EM|MDO58|38.556999|-77.069|54.1|Myrtle Grove, MD, USA|2016-05-27T20:35:50.0000|2016-06-18T18:31:59.0000
EM|MDO59|38.453999|-76.167|5.9|Buttons Neck, MD, USA|2016-05-13T20:03:59.0000|2016-06-14T14:20:44.0000
EM|MDO60|38.354|-75.421997|21.1|Wicomico Forest, MD, USA|2016-05-12T18:54:34.0000|2016-06-08T13:05:37.0000
EM|MEA60|46.256|-70.073|453.1|West Branch, ME, USA|2017-07-10T17:50:46.0000|2017-07-22T00:55:21.0000
EM|MEA61|46.116|-69.432|309.8|Katahdin Forest, ME, USA|2017-07-15T18:20:41.0000|2017-08-16T16:11:35.0000
EM|MEA62|45.904|-68.765|373.2|Baxter Park, ME, USA|2017-06-19T18:28:48.0000|2017-07-09T16:32:54.0000
EM|MEA63|45.659|-67.715|113.8|Booming Ground, ME, USA|2017-08-06T19:28:26.0000|2017-08-31T15:57:36.0000
EM|MEB60|45.603|-70.435|403.9|Turner Brook, ME, USA|2017-07-16T17:38:45.0000|2017-07-28T19:00:11.0000
EM|MEB61|45.532|-69.864|361.7|Little Moose Pond, ME, USA|2017-08-04T21:33:24.0000|2017-08-30T16:24:53.0000
EM|MEB62|45.349|-68.899|173.4|Schoodic Lake, ME, USA|2017-06-12T19:05:02.0000|2017-07-09T20:16:55.0000
EM|MEB63|45.111|-68.12|164.6|Nicatous Lake, ME, USA|2017-06-11T19:51:24.0000|2017-07-07T12:17:56.0000
EM|MEB64|44.867|-67.423|100.0|Rocky Lake, ME, USA|2017-06-10T19:10:16.0000|2017-06-26T19:23:10.0000
EM|MEC61|44.972|-70.278|533.8|Norton Brook, ME, USA|2017-07-10T19:33:27.0000|2017-07-28T14:39:19.0000
EM|MEC62|44.735|-69.367|68.0|Plymouth Bog, ME, USA|2017-06-18T18:12:47.0000|2017-07-11T15:28:47.0000
EM|MEC63|44.593|-68.565|82.6|Branch Lake, ME, USA|2017-06-20T17:58:43.0000|2017-07-04T16:17:52.0000
EM|MEC64|44.44|-67.896|38.8|Lobster Cove, ME, USA|2017-07-27T19:11:26.0000|2017-08-07T15:36:01.0000
EM|MED61|44.348999|-70.521004|168.1|Pray Meadow, ME, USA|2016-10-28T20:46:30.0000|2016-11-08T16:34:06.0000
EM|MED62|44.124|-69.791|47.0|Merrymeeting Bay, ME, USA|2017-06-13T17:25:19.0000|2017-06-26T19:10:31.0000
EM|MED63|44.041|-69.098|16.4|Birch Point, ME, USA|2017-06-19T17:29:15.0000|2017-07-06T19:04:35.0000
EM|MEE62|43.562|-70.215|16.3|Kettle Cove, ME, USA|2017-06-17T18:00:29.0000|2017-07-17T17:03:07.0000
EM|MEF62|43.11|-70.657|35.0|Raynes Neck, ME, USA|2017-05-13T22:14:46.0000|2017-06-02T11:19:30.0000
EM|MEY60|47.256|-69.371|298.9|Black Creek, ME, USA|2017-05-29T19:05:04.0000|2017-06-13T15:54:19.0000
EM|MEY61|47.157|-68.459|247.4|Dimock Brook, ME, USA|2017-06-29T19:19:55.0000|2017-07-13T15:41:59.0000
